!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.2020  IF_anom=0  LSTM_err=0.000370  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1729  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0808  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0729  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1553  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1699  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1011  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1227  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1669  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1813  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1443  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1783  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1268  IF_anom=0  LSTM_err=0.000705  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1705  IF_anom=0  LSTM_err=0.000718  LSTM_anom=0  OR_gate=0  ensemble=1
!!! REPLAY ATTACK DETECTED !!! Replay detected [fp_matchlstm]: 153 samples mean=309.1 PSI stdev=108.2587 baseline_dev=16.5% fp_match=True lstm_err=0.199972 post_attack=True
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! STEALTH_DRIFT !!! pressure_mean_dev=-50.40 PSI
[ML] Cycle — IF_score=-0.1247  IF_anom=0  LSTM_err=0.160485  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! STEALTH_DRIFT !!! pressure_mean_dev=-50.40 PSI
[ML] Cycle — IF_score=-0.1247  IF_anom=0  LSTM_err=0.148893  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! STEALTH_DRIFT !!! pressure_mean_dev=151.20 PSI
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=-0.0491  IF_anom=0  LSTM_err=0.161287  LSTM_anom=1  OR_gate=1  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1082  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0281  IF_anom=0  LSTM_err=0.004766  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1067  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0602  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0639  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1174  IF_anom=0  LSTM_err=0.000382  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0323  IF_anom=0  LSTM_err=0.005145  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0843  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1094  IF_anom=0  LSTM_err=0.000029  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0829  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0989  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0976  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1820  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1788  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1460  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1146  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
Drift cycle error: local variable '_drift_confirm_count' referenced before assignment
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0996  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1037  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1606  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1037  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1429  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0391  IF_anom=0  LSTM_err=0.004756  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1699  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1541  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0890  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1573  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1488  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1385  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1429  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1429  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=500
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=1200
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=100
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=3000
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0623  IF_anom=0  LSTM_err=0.046059  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1037  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.2001  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1299  IF_anom=0  LSTM_err=0.000028  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1707  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1687  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1488  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1571  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1404  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1558  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1404  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1623  IF_anom=0  LSTM_err=0.000277  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1347  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1593  IF_anom=0  LSTM_err=0.000024  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1359  IF_anom=0  LSTM_err=0.000032  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1641  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1311  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1359  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0333  IF_anom=0  LSTM_err=0.004777  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0986  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0378  IF_anom=0  LSTM_err=0.004762  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1409  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1243  IF_anom=0  LSTM_err=0.000022  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1298  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0843  IF_anom=0  LSTM_err=0.000025  LSTM_anom=0  OR_gate=0  ensemble=1
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=200
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=2800
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1262  IF_anom=0  LSTM_err=0.080756  LSTM_anom=0  OR_gate=0  ensemble=1
!!! SEMANTIC INJECTION DETECTED !!! Reg=201 Val=500
!!! SEMANTIC INJECTION DETECTED !!! Reg=200 Val=1200
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0955  IF_anom=0  LSTM_err=0.040569  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0792  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1707  IF_anom=0  LSTM_err=0.000017  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1178  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=-0.0022  IF_anom=0  LSTM_err=0.000024  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0436  IF_anom=0  LSTM_err=0.000023  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.0841  IF_anom=0  LSTM_err=0.000017  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1558  IF_anom=0  LSTM_err=0.000024  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1558  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1407  IF_anom=0  LSTM_err=0.000024  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1675  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1474  IF_anom=0  LSTM_err=0.000018  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.2019  IF_anom=0  LSTM_err=0.000020  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1740  IF_anom=0  LSTM_err=0.000670  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1012  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1291  IF_anom=0  LSTM_err=0.000021  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1890  IF_anom=0  LSTM_err=0.000019  LSTM_anom=0  OR_gate=0  ensemble=1
!!! OVER_PRESSURE !!! pressure=370.0 PSI (beyond physical engine maximum)
[ML] Cycle — IF_score=0.1353  IF_anom=0  LSTM_err=0.000271  LSTM_anom=0  OR_gate=0  ensemble=1
